2025-03-07 12:08:51,480 - INFO - Camera started
2025-03-07 12:09:31,979 - WARNING - Failed to read frame from video
2025-03-07 12:09:34,691 - INFO - Camera stopped
2025-03-07 12:12:19,107 - INFO - Camera started
2025-03-07 12:12:44,234 - INFO - Camera stopped
2025-03-07 12:13:30,389 - INFO - Camera started
2025-03-07 12:13:58,090 - INFO - Camera stopped
2025-03-07 12:14:15,603 - INFO - Camera started
2025-03-07 12:15:44,911 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:16:54,695 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:16:56,601 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:17,172 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:18,141 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:20,614 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:44,107 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:44,266 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:18:01,660 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:18:26,291 - WARNING - Failed to read frame from video
2025-03-07 12:20:51,284 - INFO - Camera started
2025-03-07 12:20:54,354 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=104, y=61, w=48, h=137
2025-03-07 12:20:54,404 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=66, y=22, w=134, h=437
2025-03-07 12:20:54,404 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=118, y=200, w=43, h=235
2025-03-07 12:20:54,405 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=125, y=143, w=26, h=58
2025-03-07 12:20:54,448 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=67, y=22, w=136, h=437
2025-03-07 12:20:54,449 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=122, y=201, w=38, h=226
2025-03-07 12:20:54,449 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=127, y=143, w=25, h=59
2025-03-07 12:20:54,495 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=70, y=22, w=141, h=437
2025-03-07 12:20:54,495 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=127, y=200, w=49, h=232
2025-03-07 12:20:54,495 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=129, y=144, w=23, h=58
